pair_id,zygosity,genetic_relatedness,twin1_trait,twin2_trait,twin1_temperament_reactivity,twin2_temperament_reactivity,twin1_effortful_control,twin2_effortful_control,family_stress,social_support,socioeconomic_security,educational_stability,shared_environment_index,nonshared_environment_index,trait_mean,trait_difference,gxe_marker,rge_marker,developmental_context_score
BGP00001,MZ,1.000,3.105,2.912,2.360,2.592,4.092,4.767,3.652,5.111,2.935,5.320,4.354,2.317,3.008,0.193,0.866,2.777,4.661
BGP00002,MZ,1.000,4.911,4.982,4.009,4.114,6.029,4.971,4.604,5.487,6.799,4.831,5.114,1.341,4.947,0.071,0.823,4.341,5.502
BGP00003,MZ,1.000,3.918,3.789,4.123,2.610,4.154,2.825,4.195,3.738,4.403,6.077,4.547,1.783,3.854,0.129,1.147,3.099,4.707
BGP00004,MZ,1.000,2.786,2.906,2.733,1.624,3.470,3.881,2.074,4.210,4.428,4.168,4.679,1.363,2.846,0.121,0.640,3.064,4.681
BGP00005,MZ,1.000,3.336,3.847,2.903,4.661,4.544,4.198,2.659,3.603,3.702,4.207,4.320,2.467,3.591,0.510,1.336,2.681,3.875
BGP00006,MZ,1.000,3.912,4.524,4.816,5.122,4.132,4.569,4.376,2.768,3.784,5.926,4.007,2.938,4.218,0.613,1.420,2.805,3.893
BGP00007,MZ,1.000,4.218,4.812,5.687,6.044,3.628,4.004,4.975,2.697,4.199,4.179,3.421,2.300,4.515,0.594,2.116,2.900,3.695
BGP00008,MZ,1.000,4.332,4.203,4.208,3.249,4.624,4.637,3.319,4.248,3.828,5.163,4.452,2.085,4.267,0.129,1.118,3.703,4.406
BGP00009,MZ,1.000,3.439,3.767,4.750,4.099,3.636,4.320,3.434,1.375,2.841,5.126,3.097,1.428,3.603,0.328,1.654,2.308,2.948
BGP00010,MZ,1.000,5.535,5.909,5.781,5.293,5.320,5.644,3.233,3.010,4.694,5.481,4.523,2.385,5.722,0.373,1.498,3.983,4.400
BGP00011,MZ,1.000,4.520,5.704,4.705,4.105,5.230,5.824,3.438,5.258,4.287,2.907,3.999,3.767,5.112,1.184,1.463,3.842,4.292
BGP00012,MZ,1.000,2.923,2.974,3.480,3.114,1.907,2.600,4.257,3.001,5.800,3.061,3.893,1.483,2.949,0.051,1.840,2.439,3.831
BGP00013,MZ,1.000,5.344,6.278,4.422,4.975,4.851,5.176,2.269,4.415,6.060,1.746,4.722,3.677,5.811,0.934,1.243,4.508,4.516
BGP00014,MZ,1.000,5.137,4.461,3.047,2.326,4.709,4.543,3.424,5.705,6.328,2.095,4.778,3.043,4.799,0.676,1.102,4.081,4.641
BGP00015,MZ,1.000,4.320,3.494,2.523,2.947,2.802,3.278,1.000,2.397,5.974,3.760,4.598,3.217,3.907,0.826,1.536,3.608,4.273
BGP00016,MZ,1.000,3.425,3.431,4.733,5.419,2.796,2.541,5.603,3.259,5.831,4.056,3.917,1.598,3.428,0.006,2.324,3.096,4.065
BGP00017,MZ,1.000,5.592,5.159,4.509,4.633,3.364,5.092,3.433,3.145,4.102,4.725,4.131,1.931,5.376,0.433,1.158,2.995,4.112
BGP00018,MZ,1.000,3.307,4.119,4.380,4.052,3.220,3.714,4.292,2.890,2.459,3.959,3.345,3.025,3.713,0.812,1.888,2.229,3.193
BGP00019,MZ,1.000,5.199,4.829,4.650,4.501,4.893,5.164,3.910,3.757,2.262,5.110,3.579,2.597,5.014,0.370,1.173,2.716,3.779
BGP00020,MZ,1.000,4.001,3.791,5.532,4.318,3.566,3.738,6.945,4.482,3.800,4.110,3.429,2.000,3.896,0.210,2.830,2.715,3.493
BGP00021,MZ,1.000,2.372,2.810,2.183,3.487,4.352,3.863,4.575,4.657,3.222,6.650,4.328,2.457,2.591,0.438,1.036,2.725,4.196
BGP00022,MZ,1.000,4.200,4.831,4.894,4.200,3.949,4.303,4.071,3.141,4.043,5.605,4.072,3.092,4.515,0.631,1.317,3.016,4.501
BGP00023,MZ,1.000,3.523,4.482,4.153,2.653,4.669,3.949,4.540,5.399,4.319,3.308,4.101,3.525,4.003,0.960,1.607,3.017,4.185
BGP00024,MZ,1.000,5.077,4.932,4.017,5.494,4.654,4.570,5.000,3.548,6.625,5.603,4.379,1.579,5.004,0.145,1.902,3.325,4.759
BGP00025,MZ,1.000,3.241,2.969,3.018,4.199,4.252,4.123,3.552,3.621,3.413,4.580,4.061,1.830,3.105,0.272,1.116,3.097,4.174
BGP00026,MZ,1.000,4.316,3.996,4.680,3.449,4.782,4.713,3.069,4.013,4.943,3.932,4.314,2.163,4.156,0.319,0.725,3.362,4.283
BGP00027,MZ,1.000,3.849,3.664,3.517,3.784,4.719,4.261,3.957,5.190,4.748,3.808,4.543,1.784,3.757,0.185,1.366,3.438,4.185
BGP00028,MZ,1.000,5.313,5.152,5.552,5.499,4.787,5.327,4.388,4.060,5.384,5.057,4.481,1.976,5.233,0.161,0.952,3.539,4.822
BGP00029,MZ,1.000,4.432,4.611,4.449,4.360,4.395,4.966,6.178,5.893,4.562,5.041,4.197,2.123,4.521,0.180,2.370,2.825,4.575
BGP00030,MZ,1.000,3.479,3.472,3.005,3.260,4.423,4.860,3.912,5.743,4.654,5.376,5.399,1.410,3.475,0.006,0.451,3.576,5.508
BGP00031,MZ,1.000,3.035,3.307,3.801,3.066,2.663,2.670,4.552,3.131,3.706,3.216,3.212,2.374,3.171,0.271,1.729,2.879,3.536
BGP00032,MZ,1.000,5.172,3.902,4.392,3.774,5.463,5.883,4.103,5.778,3.860,5.352,4.937,3.251,4.537,1.271,1.104,3.928,4.657
BGP00033,MZ,1.000,3.743,3.874,1.445,2.398,4.543,5.075,2.849,6.252,5.593,4.975,5.927,2.276,3.809,0.131,1.047,3.738,5.516
BGP00034,MZ,1.000,3.754,3.189,2.348,1.443,4.092,3.561,1.000,4.697,6.503,2.645,5.690,2.527,3.471,0.565,0.816,4.070,5.159
BGP00035,MZ,1.000,3.224,3.217,4.632,5.622,3.169,3.113,6.877,2.917,4.820,4.363,3.437,1.233,3.221,0.007,2.916,2.109,3.299
BGP00036,MZ,1.000,4.166,3.955,5.131,3.705,3.180,3.061,5.559,4.481,2.717,2.784,3.248,1.382,4.060,0.212,2.397,2.753,3.576
BGP00037,MZ,1.000,2.459,2.985,3.044,2.810,3.237,2.808,3.832,3.736,3.986,2.923,3.379,3.068,2.722,0.526,1.199,2.422,3.861
BGP00038,MZ,1.000,3.436,3.371,3.648,4.410,3.389,2.732,4.669,3.434,2.907,3.971,3.171,1.105,3.403,0.065,1.317,2.722,3.669
BGP00039,MZ,1.000,5.483,5.025,4.368,5.817,4.137,4.827,4.412,5.326,4.098,3.986,4.562,2.584,5.254,0.458,1.559,3.646,4.148
BGP00040,MZ,1.000,5.111,4.185,2.032,2.940,5.060,5.734,2.797,6.608,5.248,4.660,5.161,4.378,4.648,0.926,1.095,4.311,5.344
BGP00041,MZ,1.000,4.507,5.423,5.488,4.183,6.055,5.975,4.517,6.116,5.219,4.828,5.141,3.515,4.965,0.916,1.640,3.597,5.049
BGP00042,MZ,1.000,3.948,3.943,2.124,2.772,3.254,4.018,2.765,4.350,3.734,3.772,4.297,1.731,3.945,0.005,1.335,3.672,4.165
