person_id,identity_context,past_self,present_self,future_self,intentional_clarity,action_ownership,self_efficacy,external_constraint,social_recognition,value_commitment_gap,identity_integration,well_being,past_present_gap,present_future_gap,temporal_self_continuity,agency_index,situated_agency_index,identity_alignment
SAI0001,recognized_authorship_context,6.264,6.967,6.270,6.365,6.676,6.001,1.509,5.018,1.000,6.097,5.235,0.703,0.696,0.883,6.133,5.910,6.000
SAI0002,recognized_authorship_context,5.272,6.068,6.425,6.724,7.000,5.643,1.000,4.867,1.923,5.588,5.172,0.796,0.357,0.904,6.342,6.047,5.077
SAI0003,recognized_authorship_context,6.508,6.743,6.853,6.591,7.000,5.586,1.399,4.524,1.077,6.250,4.591,0.235,0.110,0.971,6.194,5.860,5.923
SAI0004,recognized_authorship_context,6.657,6.044,6.257,6.423,7.000,5.855,1.354,4.347,1.069,5.864,4.497,0.613,0.213,0.931,6.231,5.854,5.931
SAI0005,recognized_authorship_context,5.923,6.315,6.645,6.634,7.000,6.045,1.351,5.096,1.000,5.770,5.242,0.392,0.330,0.940,6.332,6.085,6.000
SAI0006,recognized_authorship_context,6.136,6.617,6.206,6.800,7.000,6.210,1.000,4.800,1.000,6.013,5.091,0.482,0.411,0.926,6.502,6.162,6.000
SAI0007,recognized_authorship_context,4.708,5.587,6.107,6.242,7.000,6.514,1.310,5.261,1.151,5.783,5.178,0.879,0.520,0.883,6.362,6.142,5.849
SAI0008,recognized_authorship_context,4.549,5.695,6.866,6.518,6.859,6.038,1.000,5.429,1.682,5.533,5.449,1.146,1.172,0.807,6.354,6.169,5.318
SAI0009,recognized_authorship_context,4.415,4.814,6.100,6.302,7.000,6.028,1.000,4.839,1.533,5.907,5.056,0.399,1.286,0.860,6.333,6.034,5.467
SAI0010,recognized_authorship_context,4.499,5.674,6.830,6.647,7.000,5.533,1.000,5.561,1.893,5.412,5.474,1.175,1.155,0.806,6.295,6.148,5.107
SAI0011,recognized_authorship_context,4.754,5.567,6.446,6.655,6.843,6.099,1.000,5.769,1.072,5.331,4.983,0.813,0.879,0.859,6.399,6.273,5.928
SAI0012,recognized_authorship_context,3.746,5.812,6.039,6.881,6.716,5.276,1.527,5.115,1.691,5.624,4.962,2.066,0.227,0.809,6.086,5.892,5.309
SAI0013,recognized_authorship_context,5.962,5.637,6.527,4.782,5.061,4.329,1.568,5.146,2.372,5.462,4.663,0.325,0.890,0.899,4.901,4.950,4.628
SAI0014,recognized_authorship_context,6.165,6.504,6.301,4.758,5.075,4.827,1.841,4.664,2.074,5.010,4.304,0.339,0.203,0.955,4.955,4.897,4.926
SAI0015,recognized_authorship_context,7.000,6.442,6.046,5.248,4.511,4.407,1.135,5.086,2.531,5.175,4.349,0.558,0.396,0.920,5.008,5.024,4.469
SAI0016,recognized_authorship_context,6.547,6.153,6.426,4.161,4.656,4.892,1.325,5.195,2.685,4.456,4.330,0.394,0.273,0.944,4.846,4.916,4.315
SAI0017,recognized_authorship_context,7.000,6.391,6.278,4.954,5.072,4.385,1.402,4.690,3.036,4.947,4.125,0.609,0.113,0.940,5.002,4.940,3.964
SAI0018,recognized_authorship_context,6.624,6.508,6.103,5.064,4.707,4.470,1.982,4.921,2.765,5.650,4.376,0.117,0.405,0.957,4.815,4.836,4.235
SAI0019,recognized_authorship_context,6.242,4.997,5.440,5.234,5.479,4.999,1.205,5.268,2.625,5.152,4.654,1.245,0.443,0.859,5.377,5.355,4.375
SAI0020,recognized_authorship_context,4.485,5.167,5.901,4.967,5.506,4.773,1.038,5.425,3.157,4.797,4.424,0.681,0.735,0.882,5.302,5.327,3.843
SAI0021,recognized_authorship_context,4.794,4.730,4.600,4.315,5.407,4.177,1.000,4.858,2.552,5.198,4.741,0.064,0.130,0.984,4.975,4.951,4.448
SAI0022,recognized_authorship_context,4.508,5.010,4.275,4.590,5.473,4.715,1.531,5.393,2.817,5.807,4.687,0.503,0.735,0.897,5.062,5.128,4.183
SAI0023,recognized_authorship_context,5.066,5.794,4.691,5.157,5.063,4.980,1.144,5.033,3.301,4.063,4.637,0.729,1.103,0.847,5.264,5.218,3.699
SAI0024,recognized_authorship_context,4.193,5.661,5.391,5.417,5.173,4.907,1.000,5.297,2.925,5.452,4.342,1.468,0.270,0.855,5.375,5.359,4.075
SAI0025,recognized_authorship_context,5.736,6.197,6.561,6.295,6.670,5.579,1.000,5.162,2.023,5.678,4.340,0.461,0.364,0.931,6.136,5.941,4.977
SAI0026,recognized_authorship_context,4.986,5.580,6.302,6.197,6.454,6.103,1.110,4.551,1.555,5.477,4.410,0.594,0.721,0.890,6.161,5.839,5.445
SAI0027,recognized_authorship_context,5.262,6.024,5.866,6.318,6.385,5.915,1.000,5.203,1.294,6.003,4.284,0.762,0.158,0.923,6.155,5.964,5.706
SAI0028,recognized_authorship_context,5.464,5.793,6.399,6.736,7.000,4.841,1.000,4.750,1.746,5.721,5.232,0.329,0.606,0.922,6.144,5.865,5.254
SAI0029,recognized_authorship_context,6.468,6.245,6.523,6.365,6.448,6.047,1.157,5.077,1.003,6.152,5.162,0.223,0.278,0.958,6.176,5.956,5.997
SAI0030,recognized_authorship_context,5.713,5.835,5.848,6.315,6.176,6.539,1.219,4.918,1.753,5.680,5.257,0.122,0.014,0.989,6.203,5.946,5.247
SAI0031,recognized_authorship_context,6.427,5.444,5.498,5.182,6.077,4.479,1.934,4.823,3.255,4.878,4.584,0.983,0.054,0.914,5.201,5.125,3.745
SAI0032,recognized_authorship_context,5.562,5.248,5.720,4.759,5.963,4.783,1.289,4.740,2.736,5.395,4.671,0.314,0.472,0.934,5.304,5.191,4.264
SAI0033,recognized_authorship_context,6.232,4.578,5.193,5.249,5.642,4.570,1.000,4.803,3.015,5.469,4.592,1.654,0.615,0.811,5.365,5.253,3.985
SAI0034,recognized_authorship_context,6.099,5.425,5.778,5.199,5.165,4.841,1.427,5.577,4.037,5.404,4.570,0.674,0.353,0.914,5.194,5.271,2.963
SAI0035,recognized_authorship_context,6.093,4.792,5.396,5.293,6.131,5.078,1.967,5.023,3.046,5.668,4.103,1.301,0.604,0.841,5.384,5.312,3.954
SAI0036,recognized_authorship_context,5.743,4.879,6.105,4.536,5.694,5.200,1.459,4.916,2.535,5.501,4.063,0.865,1.226,0.826,5.242,5.177,4.465
SAI0037,recognized_authorship_context,4.695,5.968,6.043,6.158,6.295,5.711,1.295,4.772,2.538,6.052,4.668,1.273,0.075,0.888,5.967,5.728,4.462
SAI0038,recognized_authorship_context,5.595,6.049,6.999,5.951,6.799,5.946,1.000,5.381,1.423,6.387,5.240,0.454,0.950,0.883,6.174,6.015,5.577
SAI0039,recognized_authorship_context,5.037,6.665,6.514,6.295,6.645,5.492,1.000,5.040,1.569,5.511,4.914,1.629,0.152,0.852,6.108,5.895,5.431
SAI0040,recognized_authorship_context,5.393,6.047,5.704,5.989,6.856,5.071,1.258,5.001,2.084,5.463,4.696,0.654,0.343,0.917,5.914,5.732,4.916
SAI0041,recognized_authorship_context,4.948,5.907,6.210,6.071,6.912,5.057,1.000,4.777,2.086,6.174,4.766,0.959,0.303,0.895,6.010,5.763,4.914
SAI0042,recognized_authorship_context,5.129,5.677,6.549,5.931,7.000,5.521,1.417,4.772,2.061,5.447,4.777,0.549,0.872,0.882,6.009,5.761,4.939
SAI0043,high_constraint_low_recognition_context,3.835,2.728,3.710,3.528,3.129,3.328,5.396,1.000,3.928,3.246,1.783,1.107,0.982,0.826,2.897,2.518,3.072
SAI0044,high_constraint_low_recognition_context,3.198,2.861,3.583,3.630,4.282,3.301,4.989,1.207,2.833,3.637,2.469,0.337,0.722,0.912,3.306,2.886,4.167
SAI0045,high_constraint_low_recognition_context,3.102,2.943,3.118,3.952,3.140,3.153,4.712,1.000,3.243,3.594,2.243,0.159,0.175,0.972,3.133,2.707,3.757
SAI0046,high_constraint_low_recognition_context,3.245,2.926,3.416,3.311,3.619,3.038,5.442,1.490,3.572,3.080,1.336,0.319,0.490,0.933,2.881,2.603,3.428
SAI0047,high_constraint_low_recognition_context,3.333,2.789,3.145,3.562,3.740,2.982,4.823,1.403,3.803,3.729,2.696,0.544,0.356,0.925,3.115,2.773,3.197
SAI0048,high_constraint_low_recognition_context,3.248,2.905,3.156,3.613,3.477,2.522,5.041,1.449,2.420,4.158,3.047,0.343,0.250,0.951,2.893,2.604,4.580
SAI0049,high_constraint_low_recognition_context,1.519,2.236,3.121,3.150,2.631,2.839,4.882,1.000,4.281,3.438,2.323,0.717,0.886,0.866,2.685,2.348,2.719
SAI0050,high_constraint_low_recognition_context,1.421,2.120,3.847,3.096,3.880,2.911,5.053,1.050,3.729,3.031,2.320,0.700,1.727,0.798,2.958,2.577,3.271
SAI0051,high_constraint_low_recognition_context,1.188,1.842,3.802,3.058,3.433,2.793,5.296,1.121,4.147,3.067,2.369,0.654,1.960,0.782,2.747,2.422,2.853
SAI0052,high_constraint_low_recognition_context,1.272,2.636,3.192,3.312,3.698,2.891,4.811,1.478,3.590,3.483,2.805,1.363,0.556,0.840,3.023,2.714,3.410
SAI0053,high_constraint_low_recognition_context,1.361,2.373,2.889,3.036,3.618,3.038,4.849,1.000,3.904,3.124,2.156,1.013,0.516,0.873,2.961,2.569,3.096
SAI0054,high_constraint_low_recognition_context,1.149,1.871,3.008,3.560,3.552,2.668,4.764,1.279,3.191,3.328,2.565,0.723,1.136,0.845,3.004,2.659,3.809
SAI0055,high_constraint_low_recognition_context,2.941,3.102,3.628,1.991,1.972,1.843,4.773,1.000,4.420,3.394,2.279,0.160,0.526,0.943,2.008,1.807,2.580
SAI0056,high_constraint_low_recognition_context,2.919,3.212,3.336,1.398,1.339,1.530,5.910,1.187,4.959,3.101,1.395,0.293,0.125,0.965,1.339,1.309,2.041
SAI0057,high_constraint_low_recognition_context,3.159,4.229,2.446,1.760,1.575,1.020,4.973,1.000,4.908,3.278,2.343,1.070,1.783,0.762,1.596,1.476,2.092
SAI0058,high_constraint_low_recognition_context,3.395,2.777,2.617,1.822,1.672,2.133,5.001,1.000,4.905,3.747,1.893,0.618,0.160,0.935,1.907,1.725,2.095
SAI0059,high_constraint_low_recognition_context,3.110,2.848,3.704,2.042,1.797,1.992,4.638,1.903,4.722,3.104,1.904,0.262,0.856,0.907,2.048,2.019,2.278
SAI0060,high_constraint_low_recognition_context,3.249,3.005,2.473,1.969,1.480,1.653,5.203,1.000,4.252,3.221,2.076,0.245,0.531,0.935,1.725,1.580,2.748
SAI0061,high_constraint_low_recognition_context,1.455,2.050,1.972,2.005,2.182,2.097,4.419,1.000,4.846,3.322,2.736,0.595,0.078,0.944,2.216,1.973,2.154
SAI0062,high_constraint_low_recognition_context,1.374,2.321,1.933,2.045,1.834,1.080,5.419,1.259,5.402,3.494,2.002,0.947,0.388,0.889,1.635,1.560,1.598
SAI0063,high_constraint_low_recognition_context,2.222,1.593,2.112,1.671,1.597,1.000,4.366,1.000,5.586,3.085,2.276,0.629,0.519,0.904,1.725,1.580,1.414
SAI0064,high_constraint_low_recognition_context,1.541,1.710,2.105,1.131,1.633,1.269,5.518,1.593,5.275,2.998,2.157,0.169,0.395,0.953,1.379,1.422,1.725
SAI0065,high_constraint_low_recognition_context,2.025,1.387,2.299,2.198,2.351,1.558,5.130,1.393,4.575,3.301,2.269,0.638,0.912,0.871,1.995,1.874,2.425
SAI0066,high_constraint_low_recognition_context,1.610,1.824,2.067,1.864,2.196,1.795,5.022,2.043,5.683,3.791,1.924,0.214,0.243,0.962,1.958,1.975,1.317
SAI0067,high_constraint_low_recognition_context,2.919,2.951,3.220,2.592,2.945,2.673,5.030,2.576,3.170,4.241,2.758,0.032,0.269,0.975,2.545,2.551,3.830
SAI0068,high_constraint_low_recognition_context,2.507,3.843,3.760,2.985,2.766,3.199,5.046,1.194,3.142,3.430,1.681,1.336,0.083,0.882,2.726,2.420,3.858
SAI0069,high_constraint_low_recognition_context,2.108,2.097,2.532,2.861,2.548,2.682,5.341,1.000,4.081,3.476,1.787,0.011,0.435,0.963,2.437,2.150,2.919
SAI0070,high_constraint_low_recognition_context,2.158,2.579,3.465,2.795,2.663,2.626,4.692,1.268,3.091,4.458,2.451,0.421,0.886,0.891,2.598,2.332,3.909
SAI0071,high_constraint_low_recognition_context,2.279,3.622,2.966,3.306,3.701,2.831,4.774,1.514,3.158,3.918,2.327,1.343,0.656,0.833,3.016,2.716,3.842
SAI0072,high_constraint_low_recognition_context,2.734,2.467,3.295,3.450,3.734,2.448,5.685,1.553,4.320,3.414,2.425,0.267,0.828,0.909,2.737,2.500,2.680
SAI0073,high_constraint_low_recognition_context,3.540,1.882,2.416,2.213,2.268,1.449,4.574,1.387,4.751,3.236,2.219,1.657,0.533,0.817,2.089,1.949,2.249
SAI0074,high_constraint_low_recognition_context,2.689,2.326,3.225,1.852,2.286,1.704,4.743,1.513,4.534,3.344,1.799,0.363,0.899,0.895,2.025,1.922,2.466
SAI0075,high_constraint_low_recognition_context,2.252,1.618,3.089,1.430,2.323,1.899,5.046,1.000,4.817,3.493,1.823,0.634,1.471,0.825,1.902,1.721,2.183
SAI0076,high_constraint_low_recognition_context,3.039,1.842,2.780,2.128,2.085,2.265,5.238,1.530,5.398,3.081,2.349,1.196,0.938,0.822,2.060,1.954,1.602
SAI0077,high_constraint_low_recognition_context,3.384,1.938,2.648,1.884,2.113,2.615,5.025,1.175,5.182,3.192,2.170,1.446,0.711,0.820,2.147,1.952,1.818
SAI0078,high_constraint_low_recognition_context,3.024,2.282,2.033,2.275,2.167,2.921,4.432,1.347,5.485,2.729,1.861,0.742,0.250,0.917,2.483,2.256,1.515
SAI0079,high_constraint_low_recognition_context,2.749,3.379,3.788,2.751,2.861,2.260,5.756,1.468,4.526,3.107,2.351,0.630,0.408,0.913,2.279,2.117,2.474
SAI0080,high_constraint_low_recognition_context,2.515,2.798,3.267,3.231,3.324,2.254,4.615,1.000,4.144,3.832,2.167,0.283,0.469,0.937,2.799,2.439,2.856
SAI0081,high_constraint_low_recognition_context,2.287,2.509,3.606,2.619,3.306,3.052,4.901,1.758,3.992,3.252,2.610,0.222,1.097,0.890,2.769,2.567,3.008
SAI0082,high_constraint_low_recognition_context,1.968,2.843,3.273,3.579,3.604,3.370,4.585,1.959,4.255,4.006,3.521,0.875,0.430,0.891,3.242,2.985,2.745
SAI0083,high_constraint_low_recognition_context,2.048,2.758,2.989,2.582,2.567,3.114,5.486,1.163,4.498,3.865,2.032,0.710,0.231,0.922,2.444,2.188,2.502
SAI0084,high_constraint_low_recognition_context,2.124,2.641,3.485,2.899,2.785,2.430,4.818,1.726,3.891,3.534,2.034,0.517,0.844,0.887,2.574,2.404,3.109
SAI0085,transition_and_reorientation_context,4.726,4.529,4.718,5.483,4.736,4.639,3.319,3.007,2.324,4.461,3.308,0.197,0.189,0.968,4.635,4.309,4.676
SAI0086,transition_and_reorientation_context,4.616,4.264,4.439,5.503,4.915,4.765,2.826,3.609,2.790,4.790,3.990,0.352,0.175,0.956,4.839,4.593,4.210
SAI0087,transition_and_reorientation_context,5.013,5.264,4.479,4.315,5.088,4.125,2.811,3.687,2.104,4.565,3.736,0.251,0.786,0.914,4.429,4.281,4.896
SAI0088,transition_and_reorientation_context,4.411,4.881,5.300,4.072,4.515,4.115,3.207,3.090,2.539,4.558,3.537,0.470,0.419,0.926,4.124,3.917,4.461
SAI0089,transition_and_reorientation_context,4.881,5.117,5.017,5.321,5.404,4.350,3.019,3.534,1.222,4.769,3.730,0.236,0.100,0.972,4.764,4.518,5.778
SAI0090,transition_and_reorientation_context,4.389,4.942,4.098,5.150,5.225,3.452,3.187,3.165,2.227,5.182,4.035,0.553,0.844,0.884,4.410,4.161,4.773
SAI0091,transition_and_reorientation_context,2.771,3.294,4.415,4.609,5.158,4.640,2.617,3.297,2.352,4.008,3.627,0.524,1.121,0.863,4.698,4.418,4.648
SAI0092,transition_and_reorientation_context,3.306,4.219,4.763,4.747,4.710,4.489,2.857,3.114,2.496,4.301,3.752,0.913,0.544,0.879,4.522,4.241,4.504
SAI0093,transition_and_reorientation_context,2.708,3.997,4.990,5.233,5.200,4.562,3.170,3.693,2.550,4.529,3.795,1.288,0.994,0.810,4.706,4.504,4.450
SAI0094,transition_and_reorientation_context,2.483,3.443,4.754,4.136,4.876,3.913,3.701,3.395,3.482,4.105,3.254,0.960,1.311,0.811,4.056,3.924,3.518
SAI0095,transition_and_reorientation_context,2.755,4.542,4.853,4.766,5.010,4.445,2.517,3.810,2.640,4.709,4.018,1.787,0.310,0.825,4.676,4.503,4.360
SAI0096,transition_and_reorientation_context,1.932,4.639,4.737,4.978,5.549,3.953,3.175,4.103,2.126,4.280,4.339,2.707,0.098,0.766,4.576,4.482,4.874
SAI0097,transition_and_reorientation_context,3.862,4.519,4.859,2.983,2.735,2.889,3.843,3.288,4.542,4.079,3.034,0.657,0.340,0.917,2.941,3.010,2.458
SAI0098,transition_and_reorientation_context,4.701,4.906,3.927,2.365,2.681,2.493,3.333,2.852,3.794,4.045,2.642,0.205,0.979,0.901,2.802,2.812,3.206
SAI0099,transition_and_reorientation_context,4.338,4.622,4.901,3.270,2.872,2.799,3.078,3.529,3.958,4.016,2.760,0.284,0.279,0.953,3.216,3.278,3.042
SAI0100,transition_and_reorientation_context,4.739,4.660,4.915,2.934,3.217,2.905,3.327,3.084,4.134,3.747,2.278,0.079,0.255,0.972,3.182,3.163,2.866
SAI0101,transition_and_reorientation_context,4.787,4.773,4.194,2.750,3.215,2.622,3.012,3.086,3.622,4.350,3.383,0.014,0.579,0.951,3.144,3.132,3.378
SAI0102,transition_and_reorientation_context,4.652,4.794,4.228,2.362,3.201,2.192,3.867,2.944,3.664,4.438,3.225,0.142,0.567,0.941,2.722,2.766,3.336
SAI0103,transition_and_reorientation_context,3.203,2.843,2.934,2.502,3.008,2.878,2.946,2.856,4.451,3.992,2.578,0.360,0.090,0.963,3.111,3.060,2.549
SAI0104,transition_and_reorientation_context,3.382,2.810,3.432,3.576,3.020,2.622,2.715,3.372,4.419,4.729,3.295,0.572,0.622,0.900,3.376,3.375,2.581
SAI0105,transition_and_reorientation_context,3.422,3.359,3.070,2.634,3.842,3.044,3.543,3.532,4.654,4.356,2.911,0.063,0.289,0.971,3.244,3.302,2.346
SAI0106,transition_and_reorientation_context,3.425,3.414,3.666,2.685,2.781,2.549,2.603,2.914,4.506,4.432,3.300,0.011,0.252,0.978,3.103,3.065,2.494
SAI0107,transition_and_reorientation_context,2.963,2.977,2.816,3.089,2.964,3.202,3.225,3.050,3.854,4.968,3.837,0.014,0.161,0.985,3.258,3.216,3.146
SAI0108,transition_and_reorientation_context,3.103,3.099,3.344,3.337,3.226,2.152,3.060,3.133,3.465,4.735,3.788,0.004,0.245,0.979,3.164,3.158,3.535
SAI0109,transition_and_reorientation_context,3.949,4.623,4.407,4.091,4.325,3.644,3.279,3.528,2.674,4.219,3.620,0.674,0.216,0.926,3.945,3.862,4.326
SAI0110,transition_and_reorientation_context,3.763,4.816,4.110,4.201,4.718,4.573,3.172,2.730,2.895,4.473,3.474,1.053,0.706,0.853,4.330,4.010,4.105
SAI0111,transition_and_reorientation_context,3.550,4.292,4.734,4.298,5.116,3.782,2.770,2.723,3.229,4.623,3.523,0.742,0.442,0.901,4.357,4.030,3.771
SAI0112,transition_and_reorientation_context,3.222,3.851,4.379,4.234,4.557,3.446,3.431,3.732,2.254,4.530,4.174,0.629,0.528,0.904,3.951,3.907,4.746
SAI0113,transition_and_reorientation_context,3.716,4.734,4.879,4.579,4.299,4.048,2.737,2.812,2.981,4.108,3.396,1.018,0.145,0.903,4.297,4.000,4.019
