person_id,assessment_context,occasion,trait_score,trait_extraversion,trait_conscientiousness,trait_neuroticism,state_extraversion,state_conscientiousness,state_assertiveness,state_withdrawal,situation_demand,situation_sociality,situation_evaluation,situation_trust,situation_autonomy,situation_threat,behavioral_consistency_marker,conditional_signature_score,state_inertia_marker
PSD00001,experience_sampling_research_context,1,5.436,5.745,4.433,2.159,6.411,3.215,4.173,1.000,2.919,5.871,2.551,3.488,4.327,3.378,6.428,1.829,1.289
PSD00001,experience_sampling_research_context,2,5.436,5.745,4.433,2.159,6.779,3.824,5.331,1.000,3.094,3.852,2.866,3.642,3.612,1.000,6.256,1.326,0.534
PSD00001,experience_sampling_research_context,3,5.436,5.745,4.433,2.159,5.770,4.036,4.306,1.000,2.003,3.153,3.126,4.735,4.192,3.282,6.812,1.817,0.562
PSD00001,experience_sampling_research_context,4,5.436,5.745,4.433,2.159,6.165,3.886,4.771,1.000,1.360,3.559,3.296,4.125,4.744,1.491,6.489,1.847,0.252
PSD00001,experience_sampling_research_context,5,5.436,5.745,4.433,2.159,5.494,3.537,5.817,1.000,1.976,2.641,2.073,4.515,6.027,2.247,6.655,1.530,0.516
PSD00001,experience_sampling_research_context,6,5.436,5.745,4.433,2.159,5.462,3.666,3.744,1.000,2.163,1.791,2.665,2.794,2.243,3.309,6.301,2.053,0.558
PSD00001,experience_sampling_research_context,7,5.436,5.745,4.433,2.159,5.592,3.242,4.281,1.000,3.655,3.708,1.000,3.912,3.910,2.950,6.149,1.827,0.273
PSD00001,experience_sampling_research_context,8,5.436,5.745,4.433,2.159,6.470,4.673,4.002,1.000,4.417,4.462,2.951,3.715,2.926,4.340,6.150,1.358,0.647
PSD00001,experience_sampling_research_context,9,5.436,5.745,4.433,2.159,5.849,4.200,4.816,1.000,3.081,3.356,2.199,4.600,4.833,3.140,7.096,1.808,0.477
PSD00001,experience_sampling_research_context,10,5.436,5.745,4.433,2.159,5.515,3.614,5.134,1.000,3.140,1.000,1.224,3.854,4.564,2.855,6.362,1.593,0.309
PSD00001,experience_sampling_research_context,11,5.436,5.745,4.433,2.159,5.971,3.917,4.692,1.000,3.289,5.133,2.707,3.990,6.105,3.544,6.641,1.791,0.300
PSD00001,experience_sampling_research_context,12,5.436,5.745,4.433,2.159,5.861,4.179,4.476,1.000,2.363,4.449,1.630,4.365,4.913,2.454,6.534,1.033,0.147
PSD00001,experience_sampling_research_context,13,5.436,5.745,4.433,2.159,5.732,3.878,4.437,1.000,3.236,3.831,2.688,3.595,4.152,2.664,6.422,1.305,0.117
PSD00001,experience_sampling_research_context,14,5.436,5.745,4.433,2.159,7.000,4.793,4.059,1.000,5.564,3.952,2.803,2.986,4.394,2.412,6.260,1.735,0.640
PSD00001,experience_sampling_research_context,15,5.436,5.745,4.433,2.159,6.355,4.671,4.410,1.000,1.674,4.110,3.223,2.958,4.524,2.861,6.732,1.356,0.279
PSD00001,experience_sampling_research_context,16,5.436,5.745,4.433,2.159,6.185,4.592,4.221,1.000,1.000,4.090,3.279,3.928,2.433,1.338,6.429,1.778,0.110
